DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\Desktop\test3-main\test3-main\backend\backend\settings.py first seen with mtime 1734637203.7489123
DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\account\authentication.py first seen with mtime 1734549268.288103
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1734549244.0331101
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1734549244.0174842
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\cryptography\exceptions.py first seen with mtime 1734549248.2639554
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\smartif.py first seen with mtime 1734549244.6056216
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\botocore\vendored\requests\packages\urllib3\exceptions.py first seen with mtime 1734549255.243497
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\markdown\blockprocessors.py first seen with mtime 1716632743.6538336
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1734549241.3364387
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\asyncio\subprocess.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\token.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\urllib\response.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\botocore\crt\__init__.py first seen with mtime 1734549249.6669562
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1734549244.0174842
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1734549244.62125
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygments\lexers\__init__.py first seen with mtime 1716631321.0487006
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\base\__init__.py first seen with mtime 1734549268.7420497
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\duration.py first seen with mtime 1734549244.652503
DEBUG 2024-12-20 00:40:06,963 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\google\auth\transport\mtls.py first seen with mtime 1734549267.0734942
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1734549241.3364387
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\conf\__init__.py first seen with mtime 1734549239.5914085
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1734549241.7130256
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\yt_dlp\update.py first seen with mtime 1734549175.6179676
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\dateutil\_version.py first seen with mtime 1716631344.8743267
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\yt_dlp\downloader\fc2.py first seen with mtime 1734549175.6335921
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\string.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1734549244.0331101
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1734549244.700886
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\google\auth\metrics.py first seen with mtime 1734549267.0578682
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\google\views.py first seen with mtime 1734549268.9544656
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\_os.py first seen with mtime 1734549244.6368766
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1734549244.001855
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1734549244.0331101
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygments\lexer.py first seen with mtime 1716631320.9410062
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\relations.py first seen with mtime 1734549267.5314372
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\utils.py first seen with mtime 1734549244.177697
DEBUG 2024-12-20 00:40:06,969 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\concurrent\__init__.py first seen with mtime 1686099618.0
